0.5792,87.07,0.4470,87.90,8.920,3260,0.53,0.4470,87.90,8.920,3260,0.53,0.6960,87.99,9.937,77.04,0.10
0.7124,107.1,0.7162,108.2,10.06,248.8,0.10,0.7162,108.2,10.06,248.8,0.10,1.150,108.4,11.75,29.32,0.13
0.7861,118.1,0.9094,119.5,10.73,85.17,0.10,0.9094,119.5,10.73,85.17,0.10,1.473,119.7,12.82,23.22,0.15
0.8646,129.9,1.154,131.5,11.47,47.29,0.10,1.154,131.5,11.47,47.29,0.10,1.880,131.9,14.03,19.72,0.18
0.9483,142.5,1.464,144.4,12.31,32.05,0.12,1.464,144.4,12.31,32.05,0.12,2.392,144.8,15.38,17.50,0.20
1.0371,155.9,1.851,158.0,13.24,24.36,0.13,1.851,158.0,13.24,24.36,0.13,3.028,158.7,16.91,16.02,0.23
1.1,165.3,2.163,167.8,13.94,21.15,0.14,2.163,167.8,13.94,21.15,0.14,3.542,168.5,18.04,15.29,0.26
1.2,180.4,2.465,183.3,14.99,19.26,0.15,3.064,183.3,15.12,16.57,0.17,5.240,184.2,20.05,13.98,0.34
1.3,195.4,2.780,198.8,16.04,18.00,0.16,4.220,198.9,16.57,14.23,0.22,7.512,200.1,22.57,13.33,0.45
1.4,210.5,3.106,214.3,17.05,17.08,0.17,5.677,214.6,18.25,13.01,0.28,10.48,216.2,25.63,13.09,0.58
1.5,225.5,3.445,229.8,18.03,16.36,0.17,7.481,230.3,20.19,12.37,0.34,14.30,232.5,29.28,13.07,0.73
1.6,240.5,3.795,245.4,18.97,15.80,0.18,9.684,246.3,22.41,12.04,0.42,20.39,249.2,33.74,13.22,0.96
1.7,255.6,4.157,261.0,19.88,15.32,0.18,12.34,262.3,24.93,11.89,0.51,28.47,266.3,39.30,13.47,1.22
1.8,270.6,4.529,276.6,20.77,14.92,0.19,15.51,278.6,27.76,11.85,0.61,38.98,283.9,46.12,13.75,1.50
1.9,285.6,4.911,292.2,21.63,14.57,0.19,19.25,295.0,30.92,11.87,0.71,52.49,302.2,54.41,14.01,1.79
2.0,300.7,5.304,307.9,22.47,14.26,0.20,23.64,311.7,34.43,11.93,0.82,69.59,321.3,64.37,14.23,2.07
2.1,315.7,5.707,323.5,23.28,13.99,0.20,28.73,328.6,38.31,12.00,0.94,80.56,341.1,75.52,14.32,2.21
2.2,330.7,6.119,339.2,24.08,13.74,0.21,34.61,345.7,42.58,12.09,1.05,92.63,361.4,87.21,14.38,2.33
2.3,345.8,6.541,354.9,24.87,13.52,0.21,41.35,363.2,47.26,12.17,1.17,105.8,382.4,99.44,14.41,2.44
2.4,360.8,6.972,370.6,25.63,13.31,0.21,49.02,380.9,52.36,12.25,1.29,120.2,403.9,112.2,14.42,2.53
2.5,375.8,7.413,386.4,26.38,13.12,0.22,57.72,399.0,57.91,12.32,1.41,135.9,426.0,125.5,14.41,2.61
2.6,390.9,9.379,402.2,27.18,12.33,0.23,67.52,417.4,63.91,12.37,1.53,152.9,448.9,139.4,14.38,2.68
2.7,405.9,11.76,418.0,28.12,11.52,0.26,78.53,436.3,70.40,12.42,1.64,171.2,472.3,153.8,14.33,2.74
2.8,420.9,14.63,434.0,29.20,10.83,0.29,90.82,455.6,77.38,12.45,1.74,190.9,496.5,168.7,14.28,2.79
2.9,436.0,18.06,450.1,30.46,10.31,0.33,104.5,475.3,84.89,12.48,1.84,212.1,521.5,184.2,14.22,2.83
3.0,451.0,22.13,466.3,31.90,9.95,0.39,119.6,495.6,92.92,12.49,1.94,234.8,547.1,200.3,14.15,2.86
3.1,466.0,26.94,482.7,33.54,9.73,0.45,132.0,516.3,101.3,12.49,2.00,259.1,573.6,216.8,14.07,2.89
3.2,481.1,32.60,499.2,35.41,9.60,0.52,145.2,537.4,110.1,12.48,2.06,285.0,600.9,234.0,14.00,2.92
3.3,496.1,39.21,515.9,37.53,9.54,0.61,159.3,559.0,119.1,12.47,2.12,312.6,629.0,251.6,13.91,2.94
