1.1,3.542,168.5,0.9775,0.083,15.7,0.259
1.3,6.934,200.0,0.9951,0.13,13.9,0.369
1.5,12.33,232.3,1.019,0.20,13.2,0.590
1.7,20.39,265.3,1.051,0.29,13.1,0.880
1.9,31.89,299.6,1.090,0.39,13.3,1.18
2.1,47.70,335.2,1.140,0.50,13.5,1.50
2.3,68.76,372.6,1.199,0.63,13.6,1.79
2.5,96.16,412.1,1.271,0.76,13.6,2.06
2.7,129.7,454.1,1.351,0.27,13.6,2.28
2.9,141.2,497.7,1.377,0.26,13.6,2.33
3.1,153.0,542.2,1.402,0.26,13.6,2.37
3.3,164.8,587.4,1.425,0.26,13.5,2.40
3.5,176.8,633.4,1.447,0.26,13.5,2.42
3.7,189.0,680.0,1.468,0.26,13.4,2.43
3.9,201.2,727.3,1.488,0.26,13.4,2.44
4.1,213.6,775.2,1.507,0.26,13.3,2.45
4.3,226.1,823.8,1.526,0.26,13.3,2.45
4.5,238.7,872.9,1.544,0.26,13.2,2.45
